rotation_speed(°/s),steps,waiting_time(s)
13.313,160,0.0028
13.50483,160,0.00276
13.70244,160,0.00272
13.90566,160,0.00268
14.11514,160,0.00264
14.33097,160,0.0026
14.55343,160,0.00256
14.78301,160,0.00252
15.01975,160,0.00248
15.26441,160,0.00244
15.51716,160,0.0024
15.77827,160,0.00236
16.04839,160,0.00232
16.328,160,0.00228
16.61762,160,0.00224
16.91582,160,0.0022
17.22405,160,0.00216
17.54086,160,0.00212
17.87552,160,0.00208
18.22773,160,0.00204
18.57287,160,0.002
18.94819,160,0.00196
19.33829,160,0.00192
19.74262,160,0.00188
20.1622,160,0.00184
20.59874,160,0.0018
21.05696,160,0.00176
21.54361,160,0.00172
22.03781,160,0.00168
22.56305,160,0.00164
23.12004,160,0.0016
23.68634,160,0.00156
24.30241,160,0.00152
24.94013,160,0.00148
25.62211,160,0.00144
26.33086,160,0.0014
27.07454,160,0.00136
27.89974,160,0.00132
28.74914,160,0.00128
29.63133,160,0.00124
30.60951,160,0.0012
31.63496,160,0.00116
32.7272,160,0.00112
33.86981,160,0.00108
35.14937,160,0.00104
36.48763,160,0.001
37.96981,160,0.00096
39.53464,160,0.00092
41.24042,160,0.00088
43.14581,160,0.00084
45.22424,160,0.0008
47.50485,160,0.00076
50.05065,160,0.00072
52.83689,160,0.0006799999
55.95524,160,0.00064
59.53001,160,0.0006
63.50866,160,0.00056
68.08456,160,0.00052
73.4419,160,0.00048
79.49733,160,0.00044
86.85587,160,0.0004
95.5958,160,0.00036
106.2845,160,0.00032
118.8157,160,0.00028
134.1016,160,0.00024
153.6737,160,0.0002
161.0146,160,0.00016
139.0702,160,0.00012
139.821,160,8e-05
141.8441,160,4e-05
143.8078,160,0.0
9.335266,150,0.004
9.429146,150,0.00396
9.525062,150,0.00392
9.622723,150,0.00388
9.722627,150,0.00384
9.824559,150,0.0038
9.928659,150,0.00376
10.03488,150,0.00372
10.14351,150,0.00368
10.25446,150,0.00364
10.36791,150,0.0036
10.48384,150,0.00356
10.60248,150,0.00352
10.7238,150,0.00348
10.84786,150,0.00344
10.97486,150,0.0034
11.10497,150,0.00336
11.23803,150,0.00332
11.37441,150,0.00328
11.51419,150,0.00324
11.65731,150,0.0032
11.80411,150,0.00316
11.95462,150,0.00312
12.10921,150,0.00308
12.26766,150,0.00304
12.43032,150,0.003
12.59736,150,0.00296
12.76906,150,0.00292
12.93913,150,0.00288
13.1267,150,0.00284
13.31329,150,0.0028
13.50506,150,0.00276
13.70238,150,0.00272
13.90554,150,0.00268
14.11507,150,0.00264
14.3309,150,0.0026
14.5534,150,0.00256
14.78283,150,0.00252
15.01972,150,0.00248
15.26441,150,0.00244
15.51696,150,0.0024
15.77837,150,0.00236
16.04863,150,0.00232
16.32799,150,0.00228
16.61763,150,0.00224
16.91751,150,0.0022
17.22664,150,0.00216
17.54502,150,0.00212
17.87959,150,0.00208
18.23134,150,0.00204
18.57744,150,0.002
18.94956,150,0.00196
19.3399,150,0.00192
19.74832,150,0.00188
20.15878,150,0.00184
20.60349,150,0.0018
21.06055,150,0.00176
21.53352,150,0.00172
22.04659,150,0.00168
22.56645,150,0.00164
23.11687,150,0.0016
23.70004,150,0.00156
24.30311,150,0.00152
24.94691,150,0.00148
25.63244,150,0.00144
26.34263,150,0.0014
27.09073,150,0.00136
27.88038,150,0.00132
28.73791,150,0.00128
29.63304,150,0.00124
30.58368,150,0.0012
31.62928,150,0.00116
32.71456,150,0.00112
33.88144,150,0.00108
35.15752,150,0.00104
36.49316,150,0.001
37.94595,150,0.00096
39.5311,150,0.00092
41.26007,150,0.00088
43.16487,150,0.00084
45.20937,150,0.0008
47.49928,150,0.00076
50.04945,150,0.00072
52.84084,150,0.0006799999
56.0142,150,0.00064
59.51004,150,0.0006
63.53915,150,0.00056
68.06793,150,0.00052
73.38717,150,0.00048
79.50288,150,0.00044
86.76008,150,0.0004
95.52336,150,0.00036
106.1686,150,0.00032
118.9695,150,0.00028
134.1161,150,0.00024
153.993,150,0.0002
162.3362,150,0.00016
140.1233,150,0.00012
139.2391,150,8e-05
142.8167,150,4e-05
142.6278,150,0.0
9.335303,140,0.004
9.429173,140,0.00396
9.524987,140,0.00392
9.622822,140,0.00388
9.722639,140,0.00384
9.824594,140,0.0038
9.92855,140,0.00376
10.03486,140,0.00372
10.14339,140,0.00368
10.25447,140,0.00364
10.36795,140,0.0036
10.4797,140,0.00356
10.60252,140,0.00352
10.72372,140,0.00348
10.84784,140,0.00344
10.97484,140,0.0034
11.105,140,0.00336
11.23817,140,0.00332
11.37447,140,0.00328
11.51408,140,0.00324
11.65741,140,0.0032
11.8042,140,0.00316
11.95455,140,0.00312
12.10925,140,0.00308
12.26761,140,0.00304
12.43031,140,0.003
12.59742,140,0.00296
12.76894,140,0.00292
12.9454,140,0.00288
13.1267,140,0.00284
13.31312,140,0.0028
13.50503,140,0.00276
13.70247,140,0.00272
13.90563,140,0.00268
14.11517,140,0.00264
14.33089,140,0.0026
14.55345,140,0.00256
14.78293,140,0.00252
15.02002,140,0.00248
15.2644,140,0.00244
15.5172,140,0.0024
15.77854,140,0.00236
16.04844,140,0.00232
16.32828,140,0.00228
16.61746,140,0.00224
16.91748,140,0.0022
17.22773,140,0.00216
17.54613,140,0.00212
17.87954,140,0.00208
18.22501,140,0.00204
18.5814,140,0.002
18.95633,140,0.00196
19.34179,140,0.00192
19.74669,140,0.00188
20.16486,140,0.00184
20.60573,140,0.0018
21.05401,140,0.00176
21.54273,140,0.00172
22.04583,140,0.00168
22.56465,140,0.00164
23.1223,140,0.0016
23.7121,140,0.00156
24.3008,140,0.00152
24.957,140,0.00148
25.63667,140,0.00144
26.34444,140,0.0014
27.11499,140,0.00136
27.89629,140,0.00132
28.73463,140,0.00128
29.65302,140,0.00124
30.59857,140,0.0012
31.60985,140,0.00116
32.707,140,0.00112
33.87967,140,0.00108
35.12473,140,0.00104
36.4936,140,0.001
37.96963,140,0.00096
39.54858,140,0.00092
41.31065,140,0.00088
43.17737,140,0.00084
45.22895,140,0.0008
47.49057,140,0.00076
50.0258,140,0.00072
52.87774,140,0.0006799999
55.95912,140,0.00064
59.48429,140,0.0006
63.51657,140,0.00056
68.1495,140,0.00052
73.43693,140,0.00048
79.46974,140,0.00044
86.74891,140,0.0004
95.55453,140,0.00036
106.2193,140,0.00032
118.9165,140,0.00028
134.4019,140,0.00024
154.3374,140,0.0002
160.938,140,0.00016
137.8436,140,0.00012
138.5926,140,8e-05
142.5019,140,4e-05
144.0373,140,0.0
9.335214,130,0.004
9.429165,130,0.00396
9.525004,130,0.00392
9.622836,130,0.00388
9.722625,130,0.00384
9.824524,130,0.0038
9.928634,130,0.00376
10.03486,130,0.00372
10.14348,130,0.00368
10.2544,130,0.00364
10.36781,130,0.0036
10.48383,130,0.00356
10.60237,130,0.00352
10.72377,130,0.00348
10.84783,130,0.00344
10.97484,130,0.0034
11.1051,130,0.00336
11.23806,130,0.00332
11.37442,130,0.00328
11.51418,130,0.00324
11.65737,130,0.0032
11.80423,130,0.00316
11.95459,130,0.00312
12.10913,130,0.00308
12.26766,130,0.00304
12.43031,130,0.003
12.59736,130,0.00296
12.76897,130,0.00292
12.94541,130,0.00288
13.12673,130,0.00284
13.31315,130,0.0028
13.50484,130,0.00276
13.70247,130,0.00272
13.90574,130,0.00268
14.11522,130,0.00264
14.33099,130,0.0026
14.55344,130,0.00256
14.78304,130,0.00252
15.01989,130,0.00248
15.26445,130,0.00244
15.51721,130,0.0024
15.77832,130,0.00236
16.04873,130,0.00232
16.32805,130,0.00228
16.61769,130,0.00224
16.91744,130,0.0022
17.22848,130,0.00216
17.55091,130,0.00212
17.87821,130,0.00208
18.22977,130,0.00204
18.5856,130,0.002
18.95432,130,0.00196
19.34343,130,0.00192
19.74997,130,0.00188
20.16905,130,0.00184
20.60906,130,0.0018
21.0681,130,0.00176
21.54399,130,0.00172
22.04893,130,0.00168
22.57609,130,0.00164
23.12576,130,0.0016
23.711,130,0.00156
24.30724,130,0.00152
24.9558,130,0.00148
25.62475,130,0.00144
26.33797,130,0.0014
27.11258,130,0.00136
27.92221,130,0.00132
28.75613,130,0.00128
29.65921,130,0.00124
30.61403,130,0.0012
31.64259,130,0.00116
32.70929,130,0.00112
33.87396,130,0.00108
35.16239,130,0.00104
36.51264,130,0.001
37.97461,130,0.00096
39.54225,130,0.00092
41.28819,130,0.00088
43.17533,130,0.00084
45.24641,130,0.0008
47.49856,130,0.00076
50.01862,130,0.00072
52.83063,130,0.0006799999
55.95745,130,0.00064
59.55603,130,0.0006
63.53727,130,0.00056
68.09747,130,0.00052
73.38992,130,0.00048
79.55847,130,0.00044
86.82487,130,0.0004
95.61565,130,0.00036
106.0892,130,0.00032
118.709,130,0.00028
134.4241,130,0.00024
154.4562,130,0.0002
161.3536,130,0.00016
138.8039,130,0.00012
139.5455,130,8e-05
141.2087,130,4e-05
144.5245,130,0.0
9.335322,120,0.004
9.429101,120,0.00396
9.524995,120,0.00392
9.622816,120,0.00388
9.722598,120,0.00384
9.824516,120,0.0038
9.928636,120,0.00376
10.03484,120,0.00372
10.14348,120,0.00368
10.25449,120,0.00364
10.36787,120,0.0036
10.48388,120,0.00356
10.60253,120,0.00352
10.7238,120,0.00348
10.84785,120,0.00344
10.97493,120,0.0034
11.10498,120,0.00336
11.23793,120,0.00332
11.37447,120,0.00328
11.51415,120,0.00324
11.65733,120,0.0032
11.80418,120,0.00316
11.95469,120,0.00312
12.1092,120,0.00308
12.26764,120,0.00304
12.43027,120,0.003
12.5974,120,0.00296
12.76903,120,0.00292
12.94542,120,0.00288
13.1267,120,0.00284
13.31309,120,0.0028
13.50493,120,0.00276
13.70227,120,0.00272
13.90562,120,0.00268
14.11517,120,0.00264
14.33093,120,0.0026
14.55342,120,0.00256
14.78308,120,0.00252
15.01983,120,0.00248
15.26447,120,0.00244
15.51714,120,0.0024
15.77844,120,0.00236
16.0486,120,0.00232
16.32801,120,0.00228
16.61743,120,0.00224
16.91747,120,0.0022
17.22831,120,0.00216
17.55112,120,0.00212
17.88608,120,0.00208
18.22641,120,0.00204
18.58665,120,0.002
18.95326,120,0.00196
19.34985,120,0.00192
19.75207,120,0.00188
20.16739,120,0.00184
20.59502,120,0.0018
21.06151,120,0.00176
21.54904,120,0.00172
22.04376,120,0.00168
22.57288,120,0.00164
23.1222,120,0.0016
23.69611,120,0.00156
24.31809,120,0.00152
24.95194,120,0.00148
25.63519,120,0.00144
26.35545,120,0.0014
27.08887,120,0.00136
27.89832,120,0.00132
28.7424,120,0.00128
29.64321,120,0.00124
30.60652,120,0.0012
31.62519,120,0.00116
32.72297,120,0.00112
33.88126,120,0.00108
35.16444,120,0.00104
36.49351,120,0.001
37.9709,120,0.00096
39.53072,120,0.00092
41.25814,120,0.00088
43.17685,120,0.00084
45.25865,120,0.0008
47.47721,120,0.00076
49.99792,120,0.00072
52.82243,120,0.0006799999
55.97332,120,0.00064
59.5295,120,0.0006
63.53023,120,0.00056
68.10453,120,0.00052
73.40243,120,0.00048
79.47918,120,0.00044
86.88744,120,0.0004
95.46311,120,0.00036
106.1918,120,0.00032
118.5426,120,0.00028
133.997,120,0.00024
137.0735,120,0.0002
160.9596,120,0.00016
139.1913,120,0.00012
139.6455,120,8e-05
141.4289,120,4e-05
143.1566,120,0.0
18.65108,110,0.004
18.84887,110,0.00396
19.03482,110,0.00392
19.22495,110,0.00388
19.43607,110,0.00384
19.62826,110,0.0038
19.83573,110,0.00376
20.0446,110,0.00372
20.25919,110,0.00368
20.48427,110,0.00364
20.69829,110,0.0036
20.92441,110,0.00356
21.16568,110,0.00352
21.40288,110,0.00348
21.64509,110,0.00344
21.90598,110,0.0034
22.15503,110,0.00336
22.41829,110,0.00332
22.68933,110,0.00328
22.95726,110,0.00324
23.24345,110,0.0032
23.53137,110,0.00316
23.81768,110,0.00312
24.12917,110,0.00308
24.44509,110,0.00304
24.75916,110,0.003
25.09217,110,0.00296
25.42975,110,0.00292
25.7726,110,0.00288
26.12876,110,0.00284
26.50341,110,0.0028
26.87285,110,0.00276
27.2568,110,0.00272
27.66882,110,0.00268
28.06584,110,0.00264
28.48336,110,0.0026
28.92895,110,0.00256
29.37295,110,0.00252
29.83613,110,0.00248
30.31312,110,0.00244
30.81712,110,0.0024
31.29501,110,0.00236
31.84131,110,0.00232
32.3807,110,0.00228
32.97074,110,0.00224
33.54844,110,0.0022
34.14527,110,0.00216
34.74053,110,0.00212
35.41584,110,0.00208
36.07344,110,0.00204
36.81289,110,0.002
37.51791,110,0.00196
38.2569,110,0.00192
39.08415,110,0.00188
39.89073,110,0.00184
40.7652,110,0.0018
41.64526,110,0.00176
42.58604,110,0.00172
43.59273,110,0.00168
44.61866,110,0.00164
45.66888,110,0.0016
46.82379,110,0.00156
47.98011,110,0.00152
49.22889,110,0.00148
50.57494,110,0.00144
51.99128,110,0.0014
53.43487,110,0.00136
54.99483,110,0.00132
56.63309,110,0.00128
58.39147,110,0.00124
60.28552,110,0.0012
62.25681,110,0.00116
64.3895,110,0.00112
66.69668,110,0.00108
69.11285,110,0.00104
71.6907,110,0.001
74.54781,110,0.00096
77.65141,110,0.00092
80.9425,110,0.00088
84.52701,110,0.00084
88.50849,110,0.0008
92.71101,110,0.00076
97.48663,110,0.00072
102.8238,110,0.0006799999
108.6405,110,0.00064
114.8873,110,0.0006
121.4813,110,0.00056
129.3808,110,0.00052
138.3427,110,0.00048
147.8427,110,0.00044
158.2333,110,0.0004
138.2096,110,0.00036
138.2066,110,0.00032
162.4597,110,0.00028
138.8976,110,0.00024
140.096,110,0.0002
139.1324,110,0.00016
140.6986,110,0.00012
142.8423,110,8e-05
141.5193,110,4e-05
143.3604,110,0.0
18.65684,100,0.004
18.84611,100,0.00396
19.03649,100,0.00392
