rotation_speed(°/s),steps,waiting_time(s)
440.6386,12,0.0008
583.3814,12,0.0006
863.3094,12,0.0004
1659.001,12,0.0002
96.98543,13,0.004
102.0698,13,0.0038
107.7083,13,0.0036
114.0187,13,0.0034
121.1066,13,0.0032
129.1338,13,0.003
138.3028,13,0.0028
148.8724,13,0.0026
161.1873,13,0.0024
175.7268,13,0.0022
193.1473,13,0.002
214.4128,13,0.0018
240.9193,13,0.0016
274.9283,13,0.0014
320.111,13,0.0012
383.0072,13,0.001
476.8023,13,0.0008
631.2954,13,0.0006
934.1235,13,0.0004
1794.598,13,0.0002
104.4459,14,0.004
109.921,14,0.0038
115.9959,14,0.0036
122.7814,14,0.0034
130.4187,14,0.0032
139.0607,14,0.003
148.9357,14,0.0028
160.3145,14,0.0026
173.5808,14,0.0024
189.2396,14,0.0022
208.0018,14,0.002
230.8924,14,0.0018
259.4546,14,0.0016
296.075,14,0.0014
344.7067,14,0.0012
412.4713,14,0.001
513.4246,14,0.0008
679.8456,14,0.0006
1005.817,14,0.0004
1931.579,14,0.0002
112.0162,15,0.004
117.8853,15,0.0038
124.4033,15,0.0036
131.6872,15,0.0034
139.8738,15,0.0032
149.1468,15,0.003
159.7299,15,0.0028
171.9352,15,0.0026
186.1577,15,0.0024
202.9502,15,0.0022
223.0771,15,0.002
247.6255,15,0.0018
278.251,15,0.0016
317.5163,15,0.0014
369.6668,15,0.0012
442.3441,15,0.001
550.6153,15,0.0008
728.9368,15,0.0006
1078.393,15,0.0004
2071.179,15,0.0002
119.4814,16,0.004
125.7438,16,0.0038
132.6952,16,0.0036
140.4608,16,0.0034
149.1888,16,0.0032
159.0859,16,0.003
170.3694,16,0.0028
183.3954,16,0.0026
198.5685,16,0.0024
216.4726,16,0.0022
237.9306,16,0.002
261.5055,16,0.0018
296.7892,16,0.0016
338.6482,16,0.0014
394.2794,16,0.0012
471.7995,16,0.001
587.2259,16,0.0008
777.4471,16,0.0006
1150.255,16,0.0004
2208.4,16,0.0002
126.9219,17,0.004
133.5744,17,0.0038
140.9608,17,0.0036
149.2098,17,0.0034
158.4873,17,0.0032
168.9895,17,0.003
180.9937,17,0.0028
194.8111,17,0.0026
210.9274,17,0.0024
229.9673,17,0.0022
252.7639,17,0.002
280.5779,17,0.0018
315.2552,17,0.0016
359.7503,17,0.0014
418.8219,17,0.0012
501.1527,17,0.001
623.8498,17,0.0008
826.1541,17,0.0006
1221.722,17,0.0004
2344.971,17,0.0002
134.1467,18,0.004
141.1703,18,0.0038
148.977,18,0.0036
157.6954,18,0.0034
167.4913,18,0.0032
178.5989,18,0.003
191.2741,18,0.0028
205.8924,18,0.0026
222.924,18,0.0024
243.0265,18,0.0022
267.1214,18,0.002
296.511,18,0.0018
333.1748,18,0.0016
380.1856,18,0.0014
442.6476,18,0.0012
529.6625,18,0.001
659.1885,18,0.0008
872.8584,18,0.0006
1290.693,18,0.0004
2478.179,18,0.0002
141.7783,19,0.004
149.2104,19,0.0038
157.4566,19,0.0036
166.6719,19,0.0034
177.0341,19,0.0032
188.7655,19,0.003
202.1647,19,0.0028
217.6063,19,0.0026
235.6181,19,0.0024
256.8643,19,0.0022
282.314,19,0.002
313.3857,19,0.0018
352.1451,19,0.0016
401.8001,19,0.0014
467.8338,19,0.0012
559.7711,19,0.001
696.6456,19,0.0008
922.4051,19,0.0006
1364.039,19,0.0004
2617.953,19,0.0002
